Lancé,Valeur 1
1,1
2,2
3,3
4,5
5,2
6,4
7,1
8,3
9,4
10,3
11,2
12,3
13,1
14,5
15,5
16,2
17,4
18,4
19,2
20,4
21,5
22,5
23,4
24,3
25,6
26,5
27,3
28,5
29,3
30,4
31,2
32,2
33,3
34,1
35,2
36,5
37,2
38,6
39,5
40,5
41,6
42,6
43,2
44,6
45,6
46,3
47,1
48,1
49,1
50,4
51,4
52,1
53,6
54,1
55,3
56,4
57,4
58,1
59,1
60,1
61,5
62,1
63,5
64,1
65,3
66,6
67,2
68,4
69,3
70,5
71,5
72,2
73,6
74,5
75,6
76,6
77,4
78,1
79,3
80,4
81,4
82,3
83,1
84,5
85,3
86,6
87,3
88,4
89,5
90,3
91,5
92,4
93,6
94,5
95,2
96,1
97,6
98,1
99,1
100,4
101,3
102,4
103,4
104,4
105,4
106,6
107,4
108,3
109,3
110,3
111,1
112,5
113,3
114,6
115,3
116,6
117,2
118,1
119,1
120,4
121,5
122,3
123,6
124,4
125,4
126,2
127,3
128,4
129,5
130,3
131,2
132,4
133,3
134,4
135,2
136,2
137,6
138,3
139,4
140,3
141,3
142,1
143,6
144,5
145,5
146,1
147,1
148,5
149,2
150,3
151,3
152,1
153,4
154,6
155,3
156,4
157,5
158,5
159,4
160,4
161,2
162,3
163,6
164,1
165,1
166,1
167,2
168,3
169,2
170,3
171,4
172,6
173,1
174,3
175,1
176,3
177,5
178,2
179,2
180,3
181,1
182,3
183,2
184,1
185,6
186,3
187,2
188,4
189,5
190,1
191,3
192,3
193,4
194,5
195,4
196,4
197,1
198,2
199,1
200,1
201,1
202,4
203,3
204,3
205,1
206,6
207,5
208,3
209,4
210,4
211,5
212,2
213,6
214,5
215,5
216,4
217,6
218,5
219,5
220,4
221,4
222,5
223,6
224,3
225,1
226,5
227,3
228,1
229,1
230,4
231,5
232,4
233,6
234,2
235,6
236,2
237,6
238,6
239,2
240,3
241,1
242,1
243,6
244,1
245,6
246,4
247,6
248,2
249,1
