Lancé,Valeur 1,Valeur 2,Valeur 3
1,5,4,5
2,6,3,4
3,5,3,1
4,5,3,4
5,4,4,1
6,4,3,3
7,3,3,1
8,3,5,1
9,5,3,4
10,4,6,2
11,6,2,1
12,1,1,2
13,5,1,2
14,2,6,3
15,5,3,4
16,6,1,2
17,4,2,3
18,3,6,5
19,2,2,3
20,2,5,5
21,3,2,2
22,2,3,3
23,3,6,6
24,3,1,5
25,2,6,6
26,1,2,6
27,4,4,2
28,1,5,6
29,1,1,4
30,4,6,6
31,4,5,3
32,4,1,2
33,3,1,6
34,4,6,2
35,2,3,5
36,3,5,3
37,4,1,6
38,4,1,6
39,3,5,1
40,2,2,3
41,3,4,5
42,2,6,6
43,3,3,4
44,4,4,2
45,5,3,2
46,6,2,3
47,2,2,5
48,1,4,1
49,4,6,3
50,4,2,4
51,6,3,6
52,4,3,6
53,3,2,3
54,1,4,5
55,2,5,6
56,6,4,5
57,4,5,5
58,3,6,4
59,3,5,1
60,2,4,1
61,2,2,1
62,6,3,6
63,3,2,6
64,6,1,6
65,5,5,1
66,1,2,4
67,6,1,6
68,5,3,5
69,6,4,4
70,3,3,4
71,3,3,1
72,6,1,1
73,4,1,4
74,3,4,5
75,3,3,6
76,6,1,5
77,6,4,5
78,6,1,4
79,6,3,5
80,5,1,5
81,4,5,1
82,2,1,4
83,2,3,1
84,4,3,3
85,3,5,3
86,6,5,3
87,5,4,4
88,1,2,1
89,6,5,3
90,5,6,2
91,4,4,2
92,5,6,4
93,3,2,6
94,6,2,3
95,3,5,1
96,5,6,4
97,4,3,4
98,1,2,2
99,3,6,2
100,6,1,5
101,4,5,3
102,2,2,4
103,1,2,2
104,6,1,2
105,6,1,4
106,3,5,6
107,2,2,1
108,5,2,1
109,4,2,1
110,3,2,1
111,5,2,5
112,4,3,4
113,1,3,4
114,2,3,5
115,6,6,3
116,4,5,1
117,2,4,3
118,2,6,3
119,5,2,2
120,1,3,1
121,3,3,1
122,1,1,4
123,2,6,3
124,6,2,4
125,2,2,3
126,2,2,1
127,2,5,5
128,2,6,6
129,3,4,1
130,5,3,1
131,3,5,4
132,2,6,5
133,5,1,2
134,3,2,3
135,4,2,3
136,6,4,5
137,5,3,2
138,6,1,1
139,1,3,4
140,1,4,5
141,2,6,6
142,6,4,4
143,6,3,4
144,6,2,5
145,3,6,2
146,5,1,5
147,3,6,5
148,2,2,3
149,4,2,3
150,3,2,3
151,6,1,6
152,6,1,2
153,2,4,2
154,2,2,3
155,5,3,1
156,6,4,2
157,6,5,5
158,2,5,1
159,2,3,3
160,5,4,6
161,4,4,3
162,5,5,6
163,3,4,2
164,3,6,3
165,1,2,2
166,5,6,3
167,1,3,5
168,5,5,1
169,1,3,3
170,4,5,3
171,2,2,5
172,5,1,6
173,1,4,5
174,4,1,3
175,6,3,6
176,2,5,3
177,5,1,6
178,2,2,4
179,4,6,1
180,6,5,5
181,4,4,6
182,6,4,2
183,1,4,6
184,2,1,3
185,3,1,1
186,5,2,1
187,6,6,3
188,3,5,5
189,1,2,4
190,4,2,1
191,3,3,2
192,3,6,1
193,3,6,4
194,2,4,1
195,2,2,6
196,2,2,3
197,5,5,3
198,5,5,1
199,1,6,4
200,2,5,3
201,5,1,5
202,2,5,6
203,6,5,3
204,1,1,5
205,1,2,6
206,3,4,5
207,2,3,5
208,3,3,5
209,5,3,4
210,5,3,2
211,5,2,4
212,6,1,4
213,5,1,1
214,3,5,3
215,2,5,3
216,3,3,4
217,6,5,5
218,3,1,6
219,6,3,6
220,2,5,4
221,1,4,1
222,4,6,2
223,3,3,1
224,4,4,5
225,3,5,5
226,5,1,6
227,3,6,2
228,4,5,6
229,3,6,2
230,4,4,1
231,4,2,5
232,4,3,3
233,3,1,3
234,6,1,1
235,1,1,5
236,1,5,5
237,4,4,5
238,3,3,5
239,5,6,2
240,5,6,4
241,4,1,2
242,2,1,6
243,5,3,4
244,4,3,2
245,3,1,2
246,3,4,5
247,3,1,3
248,6,2,5
249,5,4,6
